team,abbr,div
Saints,NO,NFC S
Panthers,CAR,NFC S
Falcons,ATL,NFC S
Buccaneers,TB,NFC S
Vikings,MIN,NFC N
Lions,DET,NFC N
Packers,GB,NFC N
Bears,CHI,NFC N
Rams,LA,NFC W
Rams,LAR,NFC W
Rams,STL,NFC W
Seahawks,SEA,NFC W
Cardinals,ARI,NFC W
49ers,SF,NFC W
Jaguars,JAC,AFC S
Jaguars,JAX,AFC S
Titans,TEN,AFC S
Colts,IND,AFC S
Texans,HOU,AFC S
Steelers,PIT,AFC N
Ravens,BAL,AFC N
Bengals,CIN,AFC N
Browns,CLE,AFC N
Chiefs,KC,AFC W
Chargers,LAC,AFC W
Chargers,SD,AFC W
Raiders,OAK,AFC W
Broncos,DEN,AFC W
Eagles,PHI,NFC E
Cowboys,DAL,NFC E
Redskins,WAS,NFC E
Giants,NYG,NFC E
Patriots,NE,AFC E
Bills,BUF,AFC E
Dolphins,MIA,AFC E
Jets,NYJ,AFC E
